segment_id,segment_name,parent_segment_id,description,primary_entities,primary_event_types,default_confidence_threshold,distribution_default
SEG-GOV,Government,,Public-sector entities authority budgets programs laws and public burden,department agency crown_corporation municipality public_authority,policy_change budget_release program_announcement procurement_award legislative_event,3,reviewed
SEG-IND,Industry,,Private and public industry actors ownership production supply chains and contracts,company subsidiary sector facility project,ownership_change investment_event production_change contract_event market_event,3,reviewed
SEG-INF,Infrastructure,,Physical and digital infrastructure systems and dependency paths,asset corridor port rail road grid pipeline datacentre,construction_event outage_event capacity_change funding_event approval_event,3,reviewed
SEG-LOG,Transport and Logistics,,Freight passengers carriers terminals corridors constraints and operating capacity,carrier terminal route shipment corridor fleet,service_change bottleneck safety_event capacity_change regulatory_event,3,reviewed
SEG-DEF,Defence and Security,,Defence procurement dual-use infrastructure security authorities and dependencies,department contractor base asset system capability,procurement_event deployment_event capability_change emergency_authority_event,4,restricted_review
SEG-REG,Regulatory and Legal,,Statutes regulations court decisions permits enforcement and compliance,statute regulation court agency permit case,enforcement_action court_decision permit_decision rule_change,4,reviewed
SEG-FIN,Finance and Capital,,Ownership debt grants guarantees subsidies funds banks pensions and investment exposure,fund bank pension vehicle grant loan guarantee,financing_event subsidy_event guarantee_event ownership_change,4,reviewed
SEG-RES,Resources,,Energy minerals agriculture forestry water land and resource corridors,resource project asset licence producer corridor,licence_event export_event production_change restriction_event,3,reviewed
SEG-MED,Media and Narrative,,Media funding regulator actions public messaging platform policy and narrative shifts,outlet regulator platform campaign message,narrative_event funding_event regulator_event platform_policy_change,3,reviewed
SEG-GEO,Geopolitical,,Treaties tariffs sanctions alliances trade pressure diplomacy and international events,country treaty alliance institution official,tariff_event treaty_event sanction_event diplomatic_event,4,reviewed
SEG-CIV,Civic and Subscriber Intelligence,,Subscriber leads field observations local documents photos corrections and community signals,subscriber location document observation local_actor,submission_event field_observation correction_event local_incident,2,quarantined
